label_a,label_b,relation,direction,evidence,n_confusions,sites,marker_jaccard,display_similarity,units_match,kind_match,proposed_by,status,reviewer,notes
evapEnteringIsoValve,priEnteringIsoValve,site_variant,both,confusion,3,0,0.75,0.8,True,True,draft_equivalences.py,draft,,
evapEnteringIsoValve,twrEnteringIsoValve,site_variant,both,confusion,3,0,0.667,0.8,True,True,draft_equivalences.py,draft,,
evapPressureDelta,priPressureDelta,site_variant,both,confusion,3,0,0.625,0.667,True,True,draft_equivalences.py,draft,,
exhaustFanSpeed,exhaustFanSpeedFb,parent,a_to_b,"cross_site,display_sim",0,1,0.667,0.857,True,True,draft_equivalences.py,draft,,
exhaustFanSpeed,exhaustFanSpeedSp,parent,a_to_b,"confusion,display_sim",3,0,0.571,0.857,True,True,draft_equivalences.py,draft,,
faceBypassDamper,faceBypassDamperFb,parent,a_to_b,"cross_site,display_sim",0,1,0.6,0.75,True,True,draft_equivalences.py,draft,,
heatingCoilDischargeTemp,heatingCoilLeavingTemp,site_variant,both,"cross_site,display_sim",0,1,0.5,0.75,True,True,draft_equivalences.py,draft,,
heatingDemand,zoneHeatingDemand,parent,a_to_b,"cross_site,display_sim",0,1,0.5,0.8,True,True,draft_equivalences.py,draft,,
heatingEnable,reHeatingEnable,parent,a_to_b,"confusion,display_sim",3,0,0.6,0.857,False,True,draft_equivalences.py,draft,,
heatingStage,reHeatingStage,parent,a_to_b,"cross_site,display_sim",0,1,0.5,0.857,False,True,draft_equivalences.py,draft,,
heatingStageMod,preHeatingStageMod,parent,a_to_b,"confusion,display_sim",3,0,0.5,0.75,True,True,draft_equivalences.py,draft,,
heatingValve,heatingValveTwoThird,parent,a_to_b,"cross_site,display_sim",0,1,0.8,1.0,True,True,draft_equivalences.py,draft,,
hotDeckDischargeFlowMaxSp,hotDeckDischargeFlowSp,parent,b_to_a,"cross_site,display_sim",0,1,0.714,0.909,True,True,draft_equivalences.py,draft,,
minOutsideFan,outsideFan,parent,b_to_a,"cross_site,display_sim",0,1,0.667,0.857,False,True,draft_equivalences.py,draft,,
minOutsideFlow,minOutsideFlowSp,parent,a_to_b,"cross_site,display_sim",0,1,0.5,0.857,True,True,draft_equivalences.py,draft,,
mixedTemp,mixedTempSp,parent,a_to_b,"cross_site,display_sim",0,1,0.5,0.8,True,True,draft_equivalences.py,draft,,
occupancyMode,occupancyModeOvr,parent,a_to_b,"cross_site,display_sim",0,1,0.5,0.8,False,True,draft_equivalences.py,draft,,
outsideDamper,outsideDamperSp,parent,a_to_b,"cross_site,display_sim",0,1,0.571,0.8,True,True,draft_equivalences.py,draft,,
outsideDamperFb,outsideIsoDamperFb,parent,a_to_b,"cross_site,display_sim",0,1,0.571,0.857,True,False,draft_equivalences.py,draft,,
outsideIsoDamper,outsideIsoDamperFb,parent,a_to_b,"cross_site,display_sim",0,1,0.714,0.857,True,True,draft_equivalences.py,draft,,
perimeterHeatingValve,reHeatingValve,site_variant,both,"cross_site,display_sim",0,1,0.6,0.75,True,True,draft_equivalences.py,draft,,
perimeterHeatingValveFb,radiantHeatingValveFb,site_variant,both,"cross_site,display_sim",0,1,0.5,0.75,True,True,draft_equivalences.py,draft,,
perimeterHeatingValveFb,reHeatingValveFb,site_variant,both,"cross_site,display_sim",0,1,0.6,0.75,True,True,draft_equivalences.py,draft,,
priLeavingIsoValve,priLeavingIsoValveFb,parent,a_to_b,"cross_site,display_sim",0,1,0.75,0.8,True,True,draft_equivalences.py,draft,,
priLeavingTempLoSp,secLeavingTempLoSp,site_variant,both,"confusion,display_sim",3,0,0.714,0.8,True,True,draft_equivalences.py,draft,,
priPumpSpeed,priPumpSpeedFb,parent,a_to_b,"cross_site,display_sim",0,1,0.667,0.857,True,True,draft_equivalences.py,draft,,
returnCO2,returnCO2Sp,parent,a_to_b,"cross_site,display_sim",0,1,0.5,0.8,True,True,draft_equivalences.py,draft,,
returnPressure,returnPressureSp,parent,a_to_b,"cross_site,display_sim",0,1,0.571,0.8,True,True,draft_equivalences.py,draft,,
secEnteringIsoValve,secValve,parent,b_to_a,confusion,3,0,0.556,0.75,True,False,draft_equivalences.py,draft,,
sumpTemp,twrSumpTemp,parent,a_to_b,confusion,3,0,,0.8,,,draft_equivalences.py,draft,,
twrFanSpeed,twrFanSpeedFb,parent,a_to_b,"cross_site,display_sim,probe",0,1,0.667,0.857,True,True,draft_equivalences.py,draft,,
wheelDischargeTemp,wheelDischargeTempSp,parent,a_to_b,"confusion,display_sim",3,0,0.571,0.857,True,True,draft_equivalences.py,draft,,
zoneCO,zoneCO2MaxSp,parent,a_to_b,confusion,3,0,0.286,0.333,True,True,draft_equivalences.py,draft,,
zoneCO,zoneCO2MinSp,parent,a_to_b,confusion,3,0,0.286,0.333,True,True,draft_equivalences.py,draft,,
zoneCO2MaxSp,zoneCOMaxSp,parent,b_to_a,"confusion,display_sim",3,0,0.667,0.75,True,True,draft_equivalences.py,draft,,
zoneCoolSp,zoneHeatSp,site_variant,both,"cross_site,display_sim",0,1,0.75,0.75,True,True,draft_equivalences.py,draft,,
zoneTempSp,zoneTempSpLocal,parent,a_to_b,"cross_site,display_sim",0,1,0.714,0.857,True,True,draft_equivalences.py,draft,,
bypassDamper,faceBypassDamper,parent,a_to_b,"confusion,display_sim,probe",2,0,0.5,0.857,True,True,draft_equivalences.py,draft,,
